humanitarian_id,client_id
h_4165,
h_8121,3566.0
h_9715,18977.0
h_5074,
h_1854,
h_9531,16734.0
h_19190,13932.0
h_13104,16114.0
h_4050,
h_3642,
h_5449,
h_15338,18956.0
h_14711,15847.0
h_20517,16996.0
h_6755,
h_637,
h_2005,
h_6797,
h_8340,18530.0
h_4510,
h_4598,
h_250,
h_6336,
h_2018,
h_11434,18413.0
h_10513,17006.0
h_2480,
h_5712,
h_1353,
h_6425,
h_18540,18844.0
h_1037,
h_13862,18759.0
h_3335,
h_2293,
h_6743,
h_1631,
h_19077,12122.0
h_19109,6184.0
h_3449,
h_16175,15644.0
h_10290,18214.0
h_3618,
h_5042,
h_4407,
h_13076,16088.0
h_1355,
h_5079,
h_5011,
h_5248,
h_5215,
h_5717,
h_1978,
h_1031,
h_5488,
h_3564,
h_5599,
h_3380,
h_2214,
h_319,
h_3369,
h_11280,18839.0
h_2717,
h_3048,
h_19179,18919.0
h_22293,9281.0
h_1689,
h_4431,
h_303,
h_2652,
h_6457,
h_3772,
h_1762,
h_4859,
h_4210,
h_5117,
h_6643,
h_3853,
h_3499,
h_6300,
h_3892,
h_5863,
h_1029,
h_6441,
h_14536,14522.0
h_3919,
h_5728,
h_4613,
h_190,
h_2852,
h_21981,17849.0
h_4122,
h_202,
h_5459,
h_12339,18900.0
h_6383,
h_25248,15637.0
h_20599,18235.0
h_6321,
h_12454,14768.0
h_13057,15862.0
h_3994,
h_5751,
h_477,
h_2719,
h_6659,
h_3058,
h_17015,10430.0
h_5032,
h_1585,
h_4697,
h_4114,
h_6123,
h_6340,
h_6500,
h_2289,
h_6638,
h_3222,
h_17020,18986.0
h_22401,8491.0
h_2436,
h_3900,
h_5633,
h_3268,
h_19511,11596.0
h_19678,13276.0
h_1043,
h_4972,
h_10795,17352.0
h_5325,
h_1329,
h_19326,18685.0
h_6159,
h_15774,11166.0
h_17749,18955.0
h_20660,18299.0
h_1494,
h_16746,17731.0
h_6353,
h_3736,
h_3115,
h_404,
h_6838,
h_719,
h_3446,
h_2577,
h_5673,
h_16065,12327.0
h_11498,18990.0
h_18499,16811.0
h_6763,
h_15703,18936.0
h_2056,
h_17156,18141.0
h_7969,813.0
h_5387,
h_3648,
h_2471,
h_417,
h_649,
h_4998,
h_3581,
h_3463,
h_1549,
h_621,
h_3250,
h_5482,
h_3177,
h_14896,18462.0
h_289,
h_1257,
h_5824,
h_11548,18884.0
h_13204,6580.0
h_20487,16761.0
h_2115,
h_18219,13954.0
h_12645,18933.0
h_2181,
h_3592,
h_3194,
h_4809,
h_5743,
h_6481,
h_22503,16824.0
h_10699,18172.0
h_882,
h_4166,
h_1503,
h_2049,
h_1693,
h_6626,
h_5476,
h_11389,9876.0
h_4353,
h_4756,
h_1118,
h_4480,
h_4031,
h_3473,
h_2468,
h_4637,
h_4262,
h_24703,18150.0
h_969,
h_2875,
h_20066,18902.0
h_12833,18243.0
h_4887,
h_18744,18489.0
h_5703,
h_4847,
h_11235,11333.0
h_10882,7485.0
h_12901,16366.0
h_8522,13192.0
h_11964,18522.0
h_10877,18889.0
h_2423,
h_6296,
h_6173,
h_7228,16254.0
h_12066,18812.0
h_8170,8079.0
h_5416,
